Timestamp,Drilling_Type,Bit_Depth_ft,ROP_ft_per_hr,WOB_klbf,RPM,Torque_lbf_ft,Mud_Flow_gpm,Formation
2025-05-08 04:55:54.389422,Geothermal,1000,14.34,11.0,93,237.51,360.91,Clay
2025-05-08 04:56:04.389422,Geothermal,1005,6.11,15.2,120,472.18,379.96,Limestone
2025-05-08 04:56:14.389422,Geothermal,1010,8.95,21.77,110,443.66,395.2,Shale
2025-05-08 04:56:24.389422,Geothermal,1015,14.06,16.63,156,220.48,242.68,Limestone
2025-05-08 04:56:34.389422,Geothermal,1020,14.04,36.6,89,552.56,272.42,Clay
2025-05-08 04:56:44.389422,Geothermal,1025,8.02,13.11,110,247.87,329.26,Shale
2025-05-08 04:56:54.389422,Geothermal,1030,13.83,23.29,128,374.26,340.91,Clay
2025-05-08 04:57:04.389422,Geothermal,1035,11.5,14.4,120,226.5,223.91,Clay
2025-05-08 04:57:14.389422,Geothermal,1040,5.0,21.79,83,297.2,334.14,Clay
2025-05-08 04:57:24.389422,Geothermal,1045,11.41,36.17,116,397.3,275.79,Sandstone
2025-05-08 04:57:34.389422,Geothermal,1050,9.86,19.14,155,599.29,275.75,Shale
2025-05-08 04:57:44.389422,Geothermal,1055,5.69,30.71,100,402.97,254.79,Limestone
2025-05-08 04:57:54.389422,Geothermal,1060,6.45,29.31,124,396.26,398.8,Shale
2025-05-08 04:58:04.389422,Geothermal,1065,13.28,29.71,125,485.54,288.77,Clay
2025-05-08 04:58:14.389422,Geothermal,1070,8.24,37.1,144,433.43,334.0,Shale
2025-05-08 04:58:24.389422,Geothermal,1075,10.79,10.73,144,223.73,260.55,Clay
2025-05-08 04:58:34.389422,Geothermal,1080,9.35,37.84,124,569.92,270.09,Sandstone
2025-05-08 04:58:44.389422,Geothermal,1085,6.25,11.49,125,261.35,380.64,Sandstone
2025-05-08 04:58:54.389422,Geothermal,1090,13.15,32.84,151,529.07,304.58,Sandstone
2025-05-08 04:59:04.389422,Geothermal,1095,10.06,31.03,80,370.34,298.01,Shale
2025-05-08 04:59:14.389422,Geothermal,1100,14.88,12.54,140,442.69,352.45,Clay
2025-05-08 04:59:24.389422,Geothermal,1105,8.65,19.51,81,333.96,297.45,Clay
2025-05-08 04:59:34.389422,Geothermal,1110,7.1,37.62,111,381.15,383.03,Sandstone
2025-05-08 04:59:44.389422,Geothermal,1115,14.28,19.4,148,476.53,289.58,Clay
2025-05-08 04:59:54.389422,Geothermal,1120,5.15,17.37,148,550.56,297.55,Shale
2025-05-08 05:00:04.389422,Geothermal,1125,8.14,15.11,127,373.3,343.49,Clay
2025-05-08 05:00:14.389422,Geothermal,1130,10.92,30.11,99,461.08,353.72,Sandstone
2025-05-08 05:00:24.389422,Geothermal,1135,12.64,11.55,151,598.6,397.33,Limestone
2025-05-08 05:00:34.389422,Geothermal,1140,8.97,30.24,92,231.11,395.12,Limestone
2025-05-08 05:00:44.389422,Geothermal,1145,10.18,35.98,98,546.85,266.92,Clay
2025-05-08 05:00:54.389422,Geothermal,1150,10.4,29.33,151,449.56,201.3,Sandstone
2025-05-08 05:01:04.389422,Geothermal,1155,13.34,38.07,144,242.08,204.97,Clay
2025-05-08 05:01:14.389422,Geothermal,1160,13.11,25.55,158,291.19,263.16,Limestone
2025-05-08 05:01:24.389422,Geothermal,1165,10.98,19.98,108,508.89,220.49,Shale
2025-05-08 05:01:34.389422,Geothermal,1170,6.68,27.14,116,387.01,223.47,Clay
2025-05-08 05:01:44.389422,Geothermal,1175,8.17,35.33,101,363.95,394.52,Sandstone
2025-05-08 05:01:54.389422,Geothermal,1180,5.09,10.66,83,244.07,352.79,Limestone
2025-05-08 05:02:04.389422,Geothermal,1185,11.08,39.86,87,412.85,246.13,Sandstone
2025-05-08 05:02:14.389422,Geothermal,1190,11.42,25.66,89,592.98,212.63,Clay
2025-05-08 05:02:24.389422,Geothermal,1195,10.89,25.3,112,542.43,310.16,Clay
2025-05-08 05:02:34.389422,Geothermal,1200,13.88,23.9,119,433.23,329.96,Clay
2025-05-08 05:02:44.389422,Geothermal,1205,10.24,20.63,81,263.76,344.87,Clay
2025-05-08 05:02:54.389422,Geothermal,1210,7.31,23.26,103,551.91,378.99,Limestone
2025-05-08 05:03:04.389422,Geothermal,1215,9.43,13.38,135,245.8,340.4,Sandstone
2025-05-08 05:03:14.389422,Geothermal,1220,12.29,12.72,152,265.16,322.31,Limestone
2025-05-08 05:03:24.389422,Geothermal,1225,12.4,28.52,106,508.89,303.65,Sandstone
2025-05-08 05:03:34.389422,Geothermal,1230,6.5,26.11,124,393.46,357.6,Limestone
2025-05-08 05:03:44.389422,Geothermal,1235,10.13,12.18,87,235.03,310.16,Shale
2025-05-08 05:03:54.389422,Geothermal,1240,12.19,22.6,93,598.72,276.53,Clay
2025-05-08 05:04:04.389422,Geothermal,1245,8.92,16.14,151,372.75,227.2,Sandstone
2025-05-08 05:04:14.389422,Geothermal,1250,9.2,20.18,139,239.29,252.23,Clay
2025-05-08 05:04:24.389422,Geothermal,1255,11.36,25.71,135,252.96,317.47,Shale
2025-05-08 05:04:34.389422,Geothermal,1260,5.43,38.56,140,212.07,265.71,Sandstone
2025-05-08 05:04:44.389422,Geothermal,1265,6.93,13.82,147,273.04,248.22,Clay
2025-05-08 05:04:54.389422,Geothermal,1270,11.94,25.13,135,486.61,203.35,Sandstone
2025-05-08 05:05:04.389422,Geothermal,1275,5.69,37.13,127,232.19,327.95,Limestone
2025-05-08 05:05:14.389422,Geothermal,1280,8.96,14.53,88,319.08,316.43,Limestone
2025-05-08 05:05:24.389422,Geothermal,1285,8.97,32.57,91,493.21,272.13,Shale
2025-05-08 05:05:34.389422,Geothermal,1290,5.33,21.6,82,366.29,292.59,Sandstone
2025-05-08 05:05:44.389422,Geothermal,1295,10.68,10.69,114,211.01,349.1,Shale
2025-05-08 05:05:54.389422,Geothermal,1300,13.72,15.81,85,210.92,219.98,Limestone
2025-05-08 05:06:04.389422,Geothermal,1305,9.0,21.23,98,475.89,308.29,Clay
