Timestamp,Drilling_Type,Bit_Depth_ft,ROP_ft_per_hr,WOB_klbf,RPM,Torque_lbf_ft,Mud_Flow_gpm,Formation
2025-05-08 04:55:54.372923,Oil & Gas,1000,13.01,20.18,82,417.06,276.61,Sandstone
2025-05-08 04:56:04.372923,Oil & Gas,1005,14.3,34.29,131,392.64,316.58,Sandstone
2025-05-08 04:56:14.372923,Oil & Gas,1010,5.86,22.81,111,498.05,274.78,Clay
2025-05-08 04:56:24.372923,Oil & Gas,1015,13.02,19.58,142,576.08,267.46,Limestone
2025-05-08 04:56:34.372923,Oil & Gas,1020,14.97,36.12,83,221.7,327.27,Clay
2025-05-08 04:56:44.372923,Oil & Gas,1025,7.21,10.6,155,204.74,380.13,Shale
2025-05-08 04:56:54.372923,Oil & Gas,1030,12.46,31.85,131,328.39,326.7,Limestone
2025-05-08 04:57:04.372923,Oil & Gas,1035,11.85,39.57,85,461.4,377.21,Clay
2025-05-08 04:57:14.372923,Oil & Gas,1040,5.77,34.05,85,371.67,335.78,Limestone
2025-05-08 04:57:24.372923,Oil & Gas,1045,5.59,17.0,141,404.81,392.27,Limestone
2025-05-08 04:57:34.372923,Oil & Gas,1050,6.92,16.68,89,323.36,380.76,Sandstone
2025-05-08 04:57:44.372923,Oil & Gas,1055,12.21,10.22,146,442.86,383.56,Clay
2025-05-08 04:57:54.372923,Oil & Gas,1060,11.5,20.04,118,423.89,266.13,Shale
2025-05-08 04:58:04.372923,Oil & Gas,1065,9.5,28.01,129,315.21,390.86,Shale
2025-05-08 04:58:14.372923,Oil & Gas,1070,14.99,36.97,82,317.96,346.96,Sandstone
2025-05-08 04:58:24.372923,Oil & Gas,1075,9.88,26.56,95,500.53,333.79,Clay
2025-05-08 04:58:34.372923,Oil & Gas,1080,7.93,30.21,104,201.89,265.49,Sandstone
2025-05-08 04:58:44.372923,Oil & Gas,1085,13.71,30.94,151,364.04,243.52,Shale
2025-05-08 04:58:54.372923,Oil & Gas,1090,12.25,28.59,157,200.38,233.78,Clay
2025-05-08 04:59:04.372923,Oil & Gas,1095,12.64,20.05,144,310.7,247.48,Shale
2025-05-08 04:59:14.372923,Oil & Gas,1100,12.12,13.93,100,304.86,356.17,Shale
2025-05-08 04:59:24.372923,Oil & Gas,1105,7.66,20.5,99,490.14,349.6,Limestone
2025-05-08 04:59:34.372923,Oil & Gas,1110,6.29,36.3,146,212.95,232.64,Limestone
2025-05-08 04:59:44.372923,Oil & Gas,1115,7.78,23.09,105,202.67,320.4,Clay
2025-05-08 04:59:54.372923,Oil & Gas,1120,14.04,16.34,81,289.64,327.26,Clay
2025-05-08 05:00:04.372923,Oil & Gas,1125,9.5,31.56,114,508.27,233.78,Clay
2025-05-08 05:00:14.372923,Oil & Gas,1130,8.54,18.29,131,228.06,231.61,Sandstone
2025-05-08 05:00:24.372923,Oil & Gas,1135,13.57,21.9,83,493.87,283.19,Shale
2025-05-08 05:00:34.372923,Oil & Gas,1140,9.18,34.36,131,282.92,335.97,Sandstone
2025-05-08 05:00:44.372923,Oil & Gas,1145,12.72,18.44,80,374.79,385.49,Sandstone
2025-05-08 05:00:54.372923,Oil & Gas,1150,12.91,33.12,124,290.62,337.5,Shale
2025-05-08 05:01:04.372923,Oil & Gas,1155,5.79,18.13,111,503.47,200.48,Shale
2025-05-08 05:01:14.372923,Oil & Gas,1160,9.01,28.26,125,598.33,301.2,Sandstone
2025-05-08 05:01:24.372923,Oil & Gas,1165,6.31,39.33,124,214.39,395.1,Clay
2025-05-08 05:01:34.372923,Oil & Gas,1170,8.45,27.4,159,238.56,289.33,Shale
2025-05-08 05:01:44.372923,Oil & Gas,1175,14.99,29.78,127,536.21,271.71,Clay
2025-05-08 05:01:54.372923,Oil & Gas,1180,14.45,23.09,149,376.58,331.33,Clay
2025-05-08 05:02:04.372923,Oil & Gas,1185,5.05,20.35,135,546.9,284.62,Sandstone
2025-05-08 05:02:14.372923,Oil & Gas,1190,6.8,33.38,80,416.16,287.21,Sandstone
2025-05-08 05:02:24.372923,Oil & Gas,1195,8.68,37.39,107,344.15,240.54,Limestone
2025-05-08 05:02:34.372923,Oil & Gas,1200,11.59,27.47,131,301.42,311.21,Limestone
2025-05-08 05:02:44.372923,Oil & Gas,1205,8.47,32.74,140,213.56,203.53,Shale
2025-05-08 05:02:54.372923,Oil & Gas,1210,8.5,16.83,80,373.29,386.04,Shale
2025-05-08 05:03:04.372923,Oil & Gas,1215,9.48,14.42,153,516.28,336.37,Clay
